,player_id,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,goals,attacking_score,defensive_score,gk_score,score
413,34433,1,0.0,32.4375,75.75,64.0625,63.1875,68.75,64.375,65.0,37.0,38.3125,67.75,78.625,81.4375,65.1875,68.9375,66.5,74.8125,57.4375,66.5,70.8125,54.9375,40.5625,45.6875,66.1875,59.0,71.1875,23.5625,23.625,31.0,8.5,14.1875,19.5625,15.8125,10.5625,28,0.6134190376142867,0.6870048649510847,0.3699340396189906,0.6870048649510847
414,34437,1,2.0,64.84210526315789,55.31578947368421,61.421052631578945,65.36842105263158,70.05263157894737,63.473684210526315,52.473684210526315,46.94736842105263,64.84210526315789,66.94736842105263,68.78947368421052,71.10526315789474,67.47368421052632,59.526315789473685,68.78947368421052,71.6842105263158,79.6842105263158,79.89473684210526,75.94736842105263,65.52631578947368,75.0,58.0,60.1578947368421,68.47368421052632,50.36842105263158,62.63157894736842,68.57894736842105,68.63157894736842,12.157894736842104,10.736842105263158,23.05263157894737,11.421052631578947,11.052631578947368,5,0.5723725467400972,0.8260552620385501,0.38989038862215775,0.8260552620385501
415,34466,2,2.0,66.53333333333333,71.13333333333334,85.13333333333334,70.8,69.13333333333334,66.53333333333333,64.26666666666667,32.46666666666667,47.8,71.46666666666667,54.46666666666667,66.26666666666667,50.0,65.66666666666667,58.13333333333333,81.6,86.73333333333333,77.8,92.13333333333334,53.0,83.4,61.2,76.8,75.2,64.53333333333333,49.53333333333333,49.46666666666667,49.86666666666667,11.0,14.133333333333333,25.666666666666668,15.533333333333333,13.466666666666667,28,0.6121322751111413,0.8060825180774136,0.41464313331409036,0.8060825180774136
416,34543,2,1.0,59.05882352941177,75.70588235294117,79.52941176470588,64.11764705882354,69.0,69.23529411764706,68.58823529411765,28.941176470588236,46.705882352941174,72.82352941176471,69.76470588235294,72.05882352941177,61.411764705882355,73.76470588235294,62.64705882352941,80.0,72.05882352941177,72.70588235294117,85.3529411764706,65.17647058823529,79.41176470588235,45.294117647058826,74.52941176470588,67.6470588235294,71.41176470588235,18.41176470588235,22.647058823529413,17.0,8.176470588235293,16.764705882352942,23.41176470588235,11.764705882352942,10.058823529411764,112,0.6907775696305675,0.721809555383191,0.3945875888333332,0.721809555383191
417,34574,1,1.0,81.16666666666667,69.94444444444444,51.166666666666664,78.83333333333333,79.66666666666667,83.33333333333333,68.0,59.5,69.22222222222223,80.22222222222223,80.55555555555556,74.38888888888889,82.44444444444444,70.33333333333333,78.0,74.0,50.888888888888886,68.33333333333333,63.72222222222222,72.77777777777777,39.94444444444444,52.27777777777778,70.38888888888889,75.66666666666667,66.94444444444444,51.388888888888886,56.55555555555556,42.0,13.722222222222221,14.444444444444445,26.72222222222222,12.666666666666666,8.555555555555555,45,0.700231180984665,0.7998015029065646,0.38945726710450196,0.7998015029065646
418,34590,1,1.0,60.7,54.4,74.3,70.4,46.5,56.7,50.3,59.9,61.4,66.9,55.5,56.0,56.9,56.7,64.4,62.5,59.6,72.1,73.2,57.2,65.4,63.7,63.2,61.5,68.7,66.8,66.4,61.1,9.0,15.4,41.7,16.6,14.6,6,0.5514812847254121,0.7792535091450448,0.4026811772377887,0.7792535091450448
419,34601,1,0.0,83.66666666666667,59.44444444444444,42.22222222222222,72.05555555555556,60.0,80.44444444444444,80.0,59.77777777777778,68.83333333333333,77.0,84.77777777777777,81.44444444444444,78.77777777777777,63.0,75.88888888888889,66.72222222222223,65.0,72.27777777777777,63.77777777777778,63.111111111111114,56.55555555555556,43.333333333333336,65.55555555555556,63.94444444444444,60.44444444444444,30.77777777777778,35.666666666666664,34.0,8.666666666666666,12.833333333333334,25.055555555555557,9.222222222222221,10.222222222222221,8,0.6436189121933878,0.7364419396001701,0.3789093077426535,0.7364419396001701
420,34942,1,1.0,64.25,40.25,83.75,81.0,62.0,65.375,66.75,60.25,73.25,78.75,68.375,69.875,66.0,77.625,79.0,75.75,78.0,79.375,88.0,65.0,87.25,86.0,85.5,79.875,82.75,78.25,84.125,80.625,12.5,17.0,56.75,18.375,18.625,10,0.6479731942785701,0.9588340068056147,0.5183609326391635,0.9588340068056147
421,34944,1,2.0,77.5625,63.4375,71.8125,87.25,67.0,72.25,64.0,77.0625,87.125,82.8125,62.75,69.75,58.0,81.125,69.5625,79.125,72.0,81.6875,72.25,78.5625,70.25,85.625,76.8125,82.8125,82.125,75.625,78.125,75.4375,11.75,14.125,35.375,16.25,12.3125,36,0.6884391588811176,0.9456398208209272,0.4464459434900204,0.9456398208209272
422,34947,1,0.0,62.15384615384615,78.07692307692308,73.76923076923077,69.23076923076923,79.0,73.38461538461539,70.0,71.3076923076923,58.23076923076923,76.61538461538461,75.23076923076923,72.84615384615384,66.61538461538461,67.3076923076923,73.46153846153847,83.23076923076923,74.0,64.38461538461539,75.76923076923077,69.61538461538461,65.6923076923077,55.46153846153846,75.76923076923077,75.0,79.3076923076923,26.46153846153846,25.923076923076923,25.0,7.384615384615385,13.23076923076923,34.30769230769231,11.76923076923077,15.076923076923077,27,0.6873980878382591,0.7611470568988646,0.42118593821055833,0.7611470568988646
423,35110,1,2.0,24.894736842105264,36.63157894736842,75.78947368421052,57.10526315789474,26.473684210526315,42.31578947368421,32.0,34.1578947368421,60.0,57.78947368421053,68.84210526315789,75.15789473684211,59.89473684210526,65.36842105263158,52.21052631578947,62.26315789473684,70.42105263157895,72.52631578947368,74.89473684210526,47.31578947368421,67.10526315789474,64.42105263157895,44.05263157894737,48.26315789473684,51.89473684210526,71.05263157894737,74.63157894736842,73.84210526315789,8.526315789473685,15.947368421052632,22.736842105263158,12.578947368421053,13.789473684210526,7,0.46647955141111125,0.7837650272000718,0.3741809811515243,0.7837650272000718
